Номер заказа,Дата заказа,Название товара,Категория товара,Количество продаж,Цена за единицу,Общая стоимость
001,2024-05-01,Ноутбук Acer Aspire,Электроника,5,50000,250000
002,2024-05-02,Смартфон Samsung S21,Электроника,10,60000,600000
003,2024-05-03,Кофемашина Philips,Бытовая техника,3,30000,90000
004,2024-05-04,Велосипед Stels,Спорттовары,7,15000,105000
005,2024-05-05,Книга "Война и мир",Книги,20,500,10000
006,2024-05-06,Телевизор LG 55",Электроника,2,80000,160000
007,2024-05-07,Микроволновка Bosch,Бытовая техника,4,15000,60000
008,2024-05-08,Гантели 5 кг,Спорттовары,15,2000,30000
009,2024-05-09,Пылесос Dyson,Бытовая техника,3,40000,120000
010,2024-05-10,Настольная лампа IKEA,Дом и интерьер,12,1500,18000
011,2024-05-11,Электросамокат Xiaomi,Электроника,8,25000,200000
012,2024-05-12,Фритюрница Tefal,Бытовая техника,6,7000,42000
013,2024-05-13,Шкаф-купе IKEA,Мебель,1,45000,45000
014,2024-05-14,Игровая приставка PS5,Электроника,4,50000,200000
015,2024-05-15,Лодка надувная Intex,Спорттовары,2,12000,24000
016,2024-05-16,Ковёр шерстяной,Дом и интерьер,5,10000,50000
